product_id,order_date,courier_delivery,city,district,type_of_delivery, estimated_delivery_time_days,product_rating,,,,
161,20/12/22,Ninja Xpress,Yogyakarta,Kotagede,Express,0,1,,,,
111,04/11/22,Ninja Xpress,Bekasi,Medan Satria,Next Day,0,1,,,,
159,05/05/23,Ninja Xpress,Makassar,Tallo,Reguler,5,5,,,,
256,13/04/23,J&T Express,Depok,Cinere,Express,0,1,,,,
268,06/08/22,Pos Indonesia,Jakarta,Setiabudi,Express,5,2,,,,
258,02/09/22,Jne,Yogyakarta,Prawirotaman,Same Day,4,2,,,,
299,01/08/22,J&T Express,Semarang,Pedurungan,Same Day,5,3,,,,
300,09/06/23,Sicepat,Jakarta,Kramat Jati,Express,2,5,,,,
168,13/02/23,Jne,Depok,Cipayung,Next Day,3,4,,,,
185,13/09/22,Sicepat,Jakarta,Kemayoran,Reguler,0,1,,,,
293,16/09/22,J&T Express,Yogyakarta,Sewon,Express,0,1,,,,
190,22/05/23,Ninja Xpress,Tangerang,Serpong,Same Day,5,3,,,,
159,30/11/22,Sicepat,Pekanbaru,Rumbai,Same Day,5,3,,,,
191,29/04/23,J&T Express,Batam,Batam Kota,Next Day,4,2,,,,
136,07/01/23,Pos Indonesia,Surakarta,Mojogedang,Same Day,0,1,,,,
277,30/03/23,Ninja Xpress,Makassar,Makassar Timur,Next Day,5,3,,,,
253,28/02/23,Sicepat,Yogyakarta,Gondokusuman,Express,1,4,,,,
150,15/09/22,Sicepat,Bogor,Leuwiliang,Next Day,2,5,,,,
264,18/05/23,Ninja Xpress,Malang,Lowokwaru,Same Day,4,2,,,,
223,17/03/23,J&T Express,Pekanbaru,Senapelan,Next Day,0,1,,,,
237,18/06/22,Jne,Bandar Lampung,Panjang,Same Day,0,1,,,,
121,18/10/22,Jne,Pekanbaru,Payung Sekaki,Reguler,2,2,,,,
260,11/09/22,J&T Express,Malang,Singosari,Next Day,2,5,,,,
233,10/06/23,Jne,Palembang,Bukit Besar,Same Day,0,1,,,,
263,30/09/22,J&T Express,Malang,Tumpang,Same Day,5,3,,,,
279,04/11/22,Jne,Surakarta,Serengan,Next Day,3,2,,,,
275,12/12/22,J&T Express,Palembang,Ilir Timur Ii,Reguler,2,5,,,,
162,25/08/22,J&T Express,Surabaya,Tegalsari,Next Day,4,4,,,,
299,06/04/23,J&T Express,Batam,Batu Aji,Express,0,1,,,,
160,02/06/23,J&T Express,Bandung,Cinambo,Next Day,1,4,,,,
270,16/10/22,Jne,Batam,Batu Aji,Express,3,2,,,,
148,11/02/23,Pos Indonesia,Yogyakarta,Sewon,Next Day,3,2,,,,
222,10/01/23,Sicepat,Bekasi,Jatiwaringin,Express,2,2,,,,
156,19/07/22,Pos Indonesia,Semarang,Gajahmungkur,Reguler,2,2,,,,
155,18/09/22,Sicepat,Jakarta,Makasar,Reguler,5,3,,,,
116,21/08/22,Sicepat,Yogyakarta,Gondomanan,Reguler,3,4,,,,
228,22/03/23,Pos Indonesia,Bandung,Mandalajati,Same Day,2,2,,,,
160,10/10/22,Ninja Xpress,Batam,Sagulung,Express,2,4,,,,
210,05/07/22,Pos Indonesia,Tangerang,Karang Tengah,Next Day,5,5,,,,
126,06/02/23,Jne,Pekanbaru,Lima Puluh,Express,0,1,,,,
156,24/06/22,J&T Express,Pontianak,Pontianak Utara,Next Day,4,5,,,,
154,20/02/23,Ninja Xpress,Makassar,Rappocini,Next Day,2,4,,,,
286,02/05/23,Pos Indonesia,Yogyakarta,Mergangsan,Same Day,5,5,,,,
207,24/04/23,Ninja Xpress,Padang,Padang Utara,Reguler,0,1,,,,
188,16/09/22,Pos Indonesia,Jakarta,Gambir,Same Day,0,1,,,,
179,31/05/23,Sicepat,Surakarta,Gemolong,Express,1,4,,,,
190,28/11/22,Sicepat,Pontianak,Pontianak Kota,Same Day,5,5,,,,
153,15/06/22,Ninja Xpress,Bandung,Kiaracondong,Express,0,1,,,,
276,19/10/22,Ninja Xpress,Yogyakarta,Ngampilan,Reguler,0,1,,,,
291,02/08/22,Sicepat,Medan,Medan Johor,Same Day,5,4,,,,
275,27/04/23,Jne,Pontianak,Pontianak Barat,Next Day,5,2,,,,
143,20/03/23,J&T Express,Tangerang,Serpong Selatan,Same Day,0,1,,,,
186,25/06/22,Sicepat,Medan,Medan Perjuangan,Next Day,5,3,,,,
297,03/11/22,Sicepat,Depok,Bojongsari,Reguler,0,1,,,,
182,04/09/22,Ninja Xpress,Pontianak,Pontianak Barat,Express,5,3,,,,
156,05/10/22,Ninja Xpress,Malang,Pakis,Same Day,0,1,,,,
155,07/08/22,J&T Express,Bogor,Bogor Timur,Express,0,1,,,,
213,25/06/22,Sicepat,Palembang,Plaju,Reguler,4,4,,,,
251,02/10/22,J&T Express,Surabaya,Rungkut,Express,3,2,,,,
198,31/01/23,Pos Indonesia,Pontianak,Pontianak Selatan,Next Day,5,4,,,,
227,02/04/23,Ninja Xpress,Depok,Tapos,Express,0,1,,,,
111,06/09/22,J&T Express,Bekasi,Medan Satria,Reguler,5,3,,,,
152,15/02/23,Sicepat,Medan,Medan Helvetia,Next Day,1,2,,,,
198,07/08/22,Pos Indonesia,Bandar Lampung,Tanjung Karang Timur,Reguler,5,5,,,,
294,04/07/22,Jne,Medan,Medan Perjuangan,Next Day,0,1,,,,
132,17/10/22,Pos Indonesia,Makassar,Panakkukang,Same Day,5,3,,,,
263,28/04/23,J&T Express,Semarang,Semarang Selatan,Same Day,0,1,,,,
162,25/07/22,Ninja Xpress,Bogor,Ciawi,Reguler,1,2,,,,
261,02/01/23,Jne,Surabaya,Wonokromo,Express,3,2,,,,
195,04/04/23,Ninja Xpress,Pontianak,Pontianak Kota,Same Day,1,5,,,,
193,20/08/22,Ninja Xpress,Batam,Bulang,Reguler,4,4,,,,
150,22/04/23,Jne,Bandung,Gedebage,Next Day,0,1,,,,
248,10/12/22,Ninja Xpress,Medan,Medan Sunggal,Express,1,4,,,,
193,18/10/22,Jne,Jakarta,Pancoran,Express,5,5,,,,
275,24/06/22,Sicepat,Bogor,Gunung Putri,Same Day,3,2,,,,
298,26/07/22,Jne,Bogor,Bogor Utara,Express,1,4,,,,
164,26/02/23,Sicepat,Padang,Pauh,Same Day,2,4,,,,
151,26/11/22,Jne,Jakarta,Kebayoran Baru,Reguler,3,4,,,,
190,24/07/22,Jne,Tangerang,Ciputat,Express,3,5,,,,
262,11/06/22,Sicepat,Bekasi,Bekasi Jaya,Express,0,1,,,,
118,13/12/22,Pos Indonesia,Padang,Padang Barat,Reguler,5,3,,,,
223,18/09/22,J&T Express,Medan,Medan Tuntungan,Next Day,5,3,,,,
246,04/08/22,J&T Express,Depok,Beji,Reguler,4,4,,,,
115,08/01/23,Ninja Xpress,Medan,Medan Baru,Reguler,5,5,,,,
264,10/12/22,Ninja Xpress,Malang,Sumbermanjing,Express,4,2,,,,
129,13/06/22,Pos Indonesia,Padang,Pauh,Next Day,1,2,,,,
220,17/06/22,Ninja Xpress,Tangerang,Pasar Kemis,Next Day,0,1,,,,
295,08/07/22,Ninja Xpress,Malang,Bululawang,Reguler,1,5,,,,
233,22/02/23,Ninja Xpress,Surakarta,Jebres,Next Day,3,5,,,,
161,23/04/23,Pos Indonesia,Medan,Medan Sunggal,Reguler,1,4,,,,
294,07/10/22,Pos Indonesia,Padang,Koto Tangah,Same Day,0,1,,,,
288,09/06/23,Sicepat,Denpasar,Benoa,Same Day,5,3,,,,
128,08/10/22,J&T Express,Bogor,Tanah Sereal,Same Day,4,5,,,,
200,24/03/23,J&T Express,Padang,Pauh,Express,5,5,,,,
136,31/10/22,Jne,Yogyakarta,Kotagede,Express,0,1,,,,
287,17/03/23,Sicepat,Bogor,Tanah Sereal,Same Day,1,5,,,,
264,09/12/22,Sicepat,Pontianak,Pontianak Barat,Express,3,5,,,,
118,10/05/23,Jne,Pontianak,Pontianak Barat,Express,1,2,,,,
181,10/04/23,Sicepat,Surabaya,Wonokromo,Next Day,3,4,,,,
241,24/07/22,Jne,Tangerang,Ciputat,Next Day,2,2,,,,
156,05/05/23,Jne,Medan,Medan Maimun,Same Day,5,3,,,,
220,05/03/23,Jne,Palembang,Plaju,Same Day,1,5,,,,
225,19/02/23,Pos Indonesia,Palembang,Ilir Barat I,Express,0,1,,,,
168,09/02/23,Sicepat,Jakarta,Setiabudi,Express,5,3,,,,
186,02/07/22,Ninja Xpress,Bekasi,Bekasi Utara,Same Day,5,3,,,,
151,29/08/22,J&T Express,Jakarta,Kebayoran Lama,Next Day,5,2,,,,
285,09/02/23,Sicepat,Jakarta,Gambir,Next Day,0,1,,,,
262,27/03/23,J&T Express,Tangerang,Pondok Aren,Next Day,5,3,,,,
170,30/05/23,Ninja Xpress,Bekasi,Jatiwaringin,Same Day,5,3,,,,
268,23/09/22,J&T Express,Tangerang,Serpong,Next Day,3,5,,,,
134,24/12/22,Jne,Tangerang,Pinang,Next Day,5,4,,,,
256,28/05/23,Ninja Xpress,Jakarta,Kemayoran,Reguler,4,5,,,,
221,12/12/22,Jne,Semarang,Gayamsari,Express,2,5,,,,
221,18/04/23,J&T Express,Makassar,Biringkanaya,Next Day,5,4,,,,
158,17/08/22,Ninja Xpress,Palembang,Ilir Barat Ii,Reguler,0,1,,,,
154,24/02/23,Ninja Xpress,Medan,Medan Perjuangan,Reguler,2,4,,,,
289,26/08/22,J&T Express,Bogor,Ciawi,Next Day,2,5,,,,
274,22/05/23,Pos Indonesia,Bogor,Megamendung,Reguler,1,5,,,,
159,20/04/23,J&T Express,Malang,Kedungkandang,Next Day,2,2,,,,
278,28/03/23,Pos Indonesia,Depok,Sawangan,Next Day,5,2,,,,
176,09/07/22,J&T Express,Denpasar,Denpasar Timur,Same Day,1,2,,,,
213,16/03/23,Ninja Xpress,Bandung,Lengkong,Same Day,5,3,,,,
243,13/02/23,Pos Indonesia,Bandar Lampung,Teluk Betung Selatan,Reguler,4,5,,,,
134,22/05/23,Ninja Xpress,Yogyakarta,Jetis,Express,5,3,,,,
233,03/08/22,Ninja Xpress,Medan,Medan Johor,Reguler,5,3,,,,
267,02/04/23,Jne,Bandar Lampung,Sukabumi,Next Day,5,3,,,,
206,01/11/22,Ninja Xpress,Depok,Beji,Same Day,3,5,,,,
232,15/01/23,Pos Indonesia,Jakarta,Pancoran,Same Day,5,3,,,,
246,30/12/22,Pos Indonesia,Pontianak,Pontianak Selatan,Express,0,1,,,,
239,07/09/22,Jne,Denpasar,Serangan,Next Day,4,4,,,,
238,03/10/22,Sicepat,Tangerang,Ciledug,Same Day,2,2,,,,
199,30/09/22,Sicepat,Pontianak,Pontianak Selatan,Express,5,3,,,,
122,02/09/22,J&T Express,Depok,Sawangan,Reguler,2,5,,,,
242,19/03/23,Ninja Xpress,Pekanbaru,Payung Sekaki,Reguler,5,2,,,,
211,18/02/23,Sicepat,Malang,Lawang,Reguler,2,5,,,,
117,23/08/22,Sicepat,Malang,Sumbermanjing,Same Day,3,4,,,,
232,06/01/23,Sicepat,Pontianak,Pontianak Kota,Same Day,0,1,,,,
133,28/04/23,Sicepat,Surabaya,Tambaksari,Express,2,4,,,,
232,25/06/22,Pos Indonesia,Medan,Medan Polonia,Same Day,0,1,,,,
169,19/08/22,Sicepat,Makassar,Tamalate,Next Day,4,2,,,,
259,05/07/22,Ninja Xpress,Bandung,Bandung Wetan,Reguler,2,4,,,,
200,24/03/23,J&T Express,Makassar,Rappocini,Reguler,0,1,,,,
140,24/08/22,Pos Indonesia,Tangerang,Cipondoh,Reguler,1,5,,,,
124,21/09/22,Jne,Surabaya,Tambaksari,Express,5,3,,,,
172,06/10/22,Sicepat,Yogyakarta,Jetis,Same Day,1,2,,,,
234,25/11/22,J&T Express,Padang,Nanggalo,Reguler,3,4,,,,
190,05/09/22,Pos Indonesia,Palembang,Sukarami,Express,2,5,,,,
263,14/06/22,Sicepat,Tangerang,Pinang,Same Day,5,2,,,,
201,24/10/22,Sicepat,Padang,Bungus Teluk Kabung,Same Day,4,4,,,,
212,08/02/23,J&T Express,Pontianak,Pontianak Timur,Reguler,2,4,,,,
207,17/12/22,Sicepat,Surakarta,Kalijambe,Reguler,3,5,,,,
205,13/10/22,Pos Indonesia,Depok,Tapos,Express,1,4,,,,
133,25/06/22,Jne,Makassar,Wajo,Same Day,5,2,,,,
201,15/11/22,Pos Indonesia,Yogyakarta,Ngampilan,Reguler,3,2,,,,
147,23/11/22,Pos Indonesia,Batam,Sekupang,Express,0,1,,,,
154,30/05/23,Sicepat,Surabaya,Wonokromo,Reguler,0,1,,,,
199,13/05/23,Pos Indonesia,Bekasi,Bekasi Utara,Reguler,3,2,,,,
255,27/07/22,Jne,Yogyakarta,Wirobrajan,Same Day,0,1,,,,
115,08/10/22,J&T Express,Palembang,Kalidoni,Reguler,5,3,,,,
169,08/07/22,Sicepat,Semarang,Semarang Selatan,Express,2,5,,,,
274,15/05/23,J&T Express,Yogyakarta,Kotagede,Express,1,2,,,,
134,29/09/22,J&T Express,Bogor,Bogor Utara,Reguler,4,4,,,,
188,15/06/22,Pos Indonesia,Palembang,Kemuning,Same Day,0,1,,,,
145,22/07/22,Sicepat,Medan,Medan Labuhan,Express,4,5,,,,
125,01/11/22,Jne,Batam,Sagulung,Same Day,3,4,,,,
264,28/03/23,Pos Indonesia,Medan,Medan Belawan,Express,5,3,,,,
247,15/09/22,Jne,Makassar,Tallo,Express,1,4,,,,
204,05/03/23,Sicepat,Malang,Pakis,Reguler,5,3,,,,
145,27/01/23,Sicepat,Depok,Bojongsari,Next Day,3,4,,,,
216,06/03/23,Sicepat,Pontianak,Pontianak Kota,Next Day,2,5,,,,
144,14/06/22,Sicepat,Bogor,Bogor Tengah,Next Day,0,1,,,,
147,24/04/23,Jne,Surabaya,Asemrowo,Express,0,1,,,,
135,29/05/23,Sicepat,Denpasar,Serangan,Next Day,2,2,,,,
207,25/06/22,Pos Indonesia,Pekanbaru,Tampan,Reguler,5,4,,,,
135,01/06/23,Pos Indonesia,Bandar Lampung,Tanjung Senang,Same Day,0,1,,,,
144,11/02/23,Sicepat,Makassar,Wajo,Next Day,1,4,,,,
242,07/02/23,Ninja Xpress,Pekanbaru,Senapelan,Same Day,5,3,,,,
185,08/09/22,J&T Express,Tangerang,Ciputat,Express,0,1,,,,
237,08/04/23,Ninja Xpress,Bekasi,Rawalumbu,Reguler,4,2,,,,
118,24/10/22,J&T Express,Bekasi,Medan Satria,Reguler,5,3,,,,
154,02/11/22,Pos Indonesia,Surakarta,Laweyan,Reguler,3,4,,,,
233,16/07/22,Pos Indonesia,Bekasi,Bekasi Selatan,Next Day,0,1,,,,
231,30/06/22,Ninja Xpress,Bogor,Cigombong,Reguler,4,5,,,,
140,23/12/22,Ninja Xpress,Palembang,Bukit Besar,Reguler,5,4,,,,
152,14/09/22,Jne,Bandar Lampung,Panjang,Same Day,0,1,,,,
252,06/03/23,Sicepat,Jakarta,Pancoran,Express,0,1,,,,
218,24/12/22,Jne,Jakarta,Menteng,Reguler,5,3,,,,
224,01/03/23,Jne,Makassar,Ujung Pandang,Next Day,3,5,,,,
184,25/07/22,Pos Indonesia,Bekasi,Bantargebang,Express,5,3,,,,
124,28/01/23,Jne,Surakarta,Berbek,Reguler,4,5,,,,
256,04/01/23,Jne,Makassar,Makassar City,Next Day,5,3,,,,
203,07/05/23,Jne,Semarang,Tugu Mulyo,Same Day,2,5,,,,
208,07/04/23,J&T Express,Semarang,Gunungpati,Reguler,5,3,,,,
123,02/01/23,Pos Indonesia,Padang,Koto Tangah,Reguler,3,4,,,,
288,30/03/23,Jne,Surakarta,Berbek,Next Day,5,5,,,,
129,11/06/23,Ninja Xpress,Bandar Lampung,Rajabasa,Reguler,1,2,,,,
263,26/12/22,J&T Express,Denpasar,Denpasar Timur,Reguler,5,3,,,,
195,29/12/22,Pos Indonesia,Bandar Lampung,Kemiling,Next Day,5,3,,,,
145,30/09/22,Jne,Pontianak,Pontianak Barat,Same Day,0,1,,,,
128,06/12/22,Pos Indonesia,Jakarta,Grogol Petamburan,Same Day,0,1,,,,
176,04/10/22,Ninja Xpress,Bekasi,Pondok Melati,Next Day,0,1,,,,
258,07/06/23,Sicepat,Jakarta,Matraman,Same Day,0,1,,,,
143,04/09/22,J&T Express,Denpasar,Serangan,Next Day,5,3,,,,
282,01/09/22,Ninja Xpress,Surabaya,Tegalsari,Reguler,1,2,,,,
265,04/09/22,J&T Express,Surakarta,Karanganyar,Reguler,0,1,,,,
173,04/07/22,Sicepat,Bekasi,Medan Satria,Express,1,4,,,,
294,21/02/23,Pos Indonesia,Yogyakarta,Gondokusuman,Same Day,4,5,,,,
286,01/10/22,J&T Express,Denpasar,Kerobokan,Reguler,0,1,,,,
149,17/05/23,Ninja Xpress,Jakarta,Ciracas,Express,5,3,,,,
263,05/12/22,Pos Indonesia,Pekanbaru,Bukit Raya,Next Day,1,4,,,,
293,06/01/23,J&T Express,Padang,Padang Utara,Reguler,5,3,,,,
213,13/04/23,J&T Express,Semarang,Mijen,Next Day,1,4,,,,
171,06/07/22,Sicepat,Yogyakarta,Gondokusuman,Reguler,5,3,,,,
235,25/09/22,Pos Indonesia,Bandung,Regol,Express,3,5,,,,
124,02/08/22,Pos Indonesia,Makassar,Makassar Selatan,Reguler,4,5,,,,
273,27/02/23,Jne,Denpasar,Kerobokan,Same Day,5,3,,,,
208,26/03/23,Sicepat,Palembang,Ilir Barat I,Same Day,0,1,,,,
299,22/11/22,Sicepat,Bandung,Cicendo,Reguler,5,3,,,,
224,28/11/22,Pos Indonesia,Semarang,Pedurungan,Same Day,0,1,,,,
133,30/10/22,Ninja Xpress,Jakarta,Gambir,Next Day,0,1,,,,
242,25/11/22,Pos Indonesia,Surabaya,Genteng,Reguler,1,4,,,,
233,30/04/23,Sicepat,Tangerang,Pinang,Reguler,1,5,,,,
263,22/08/22,Pos Indonesia,Bogor,Cigombong,Same Day,0,1,,,,
193,26/02/23,Ninja Xpress,Surabaya,Tegalsari,Next Day,3,2,,,,
206,13/07/22,Jne,Pontianak,Pontianak Barat,Same Day,0,1,,,,
277,18/06/22,J&T Express,Bandar Lampung,Sukarame,Next Day,2,5,,,,
272,08/07/22,Pos Indonesia,Bandung,Astana Anyar,Same Day,1,5,,,,
238,28/08/22,Ninja Xpress,Malang,Blimbing,Next Day,0,1,,,,
153,09/09/22,Jne,Tangerang,Benda,Next Day,5,4,,,,
295,12/06/22,Pos Indonesia,Padang,Bungus Teluk Kabung,Next Day,1,4,,,,
211,08/09/22,Sicepat,Semarang,Gayamsari,Next Day,4,5,,,,
117,27/01/23,Sicepat,Palembang,Ilir Timur I,Reguler,5,3,,,,
291,29/11/22,Ninja Xpress,Makassar,Makassar Barat,Next Day,5,4,,,,
123,01/10/22,Jne,Jakarta,Mampang Prapatan,Reguler,1,5,,,,
210,07/05/23,Ninja Xpress,Makassar,Batu,Same Day,4,2,,,,
152,20/10/22,Sicepat,Bandung,Bandung Wetan,Same Day,5,3,,,,
270,10/02/23,Jne,Makassar,Makassar Utara,Next Day,5,3,,,,
300,20/10/22,Ninja Xpress,Surabaya,Wonokromo,Same Day,3,5,,,,
174,14/05/23,Pos Indonesia,Bandung,Buahbatu,Next Day,5,3,,,,
225,06/05/23,Sicepat,Malang,Blimbing,Same Day,0,1,,,,
161,25/01/23,Ninja Xpress,Yogyakarta,Umbulharjo,Reguler,5,5,,,,
284,24/08/22,Sicepat,Surakarta,Laweyan,Next Day,1,5,,,,
154,16/03/23,Sicepat,Denpasar,Kedonganan,Express,0,1,,,,
274,07/04/23,Jne,Pontianak,Pontianak Kota,Express,3,5,,,,
163,01/04/23,Jne,Bandar Lampung,Rajabasa,Express,1,2,,,,
117,19/01/23,J&T Express,Makassar,Wajo,Reguler,0,1,,,,
225,30/12/22,J&T Express,Padang,Nanggalo,Next Day,5,3,,,,
111,22/12/22,Sicepat,Pekanbaru,Payung Sekaki,Next Day,5,5,,,,
249,22/07/22,Jne,Bogor,Megamendung,Express,3,4,,,,
292,26/05/23,J&T Express,Bekasi,Bekasi Jaya,Reguler,2,5,,,,
290,27/07/22,Ninja Xpress,Jakarta,Kebayoran Baru,Express,0,1,,,,
169,08/03/23,J&T Express,Yogyakarta,Gondomanan,Next Day,1,2,,,,
195,26/03/23,Jne,Bogor,Babakan Madang,Express,0,1,,,,
157,27/01/23,Sicepat,Surabaya,Gubeng,Same Day,5,2,,,,
272,02/09/22,Sicepat,Malang,Kedungkandang,Reguler,2,4,,,,
289,03/09/22,J&T Express,Bandar Lampung,Teluk Betung Selatan,Next Day,5,4,,,,
275,18/07/22,Jne,Depok,Sawangan,Reguler,4,4,,,,
161,13/08/22,Ninja Xpress,Denpasar,Denpasar Selatan,Reguler,5,3,,,,
195,24/12/22,Sicepat,Padang,Padang Timur,Same Day,1,5,,,,
143,20/02/23,Sicepat,Bandar Lampung,Tanjung Karang Timur,Reguler,3,2,,,,
117,21/05/23,Sicepat,Tangerang,Karang Tengah,Reguler,5,3,,,,
189,07/05/23,J&T Express,Pekanbaru,Pekanbaru Kota,Reguler,5,3,,,,
300,19/03/23,Jne,Batam,Batu Aji,Express,1,4,,,,
246,13/08/22,Pos Indonesia,Pekanbaru,Payung Sekaki,Express,5,3,,,,
169,25/04/23,Sicepat,Palembang,Alang-Alang Lebar,Next Day,2,4,,,,
254,23/11/22,Sicepat,Batam,Lubuk Baja,Reguler,2,2,,,,
219,05/03/23,Pos Indonesia,Palembang,Bukit Besar,Next Day,1,4,,,,
250,09/06/23,Jne,Bekasi,Jati Sampurna,Express,1,4,,,,
277,21/02/23,Jne,Padang,Kuranji,Express,0,1,,,,
297,28/04/23,Sicepat,Denpasar,Nusa Dua,Next Day,4,4,,,,
195,29/01/23,Jne,Malang,Pakis,Next Day,1,4,,,,
154,03/08/22,J&T Express,Batam,Belakang Padang,Same Day,5,3,,,,
178,11/10/22,Ninja Xpress,Surabaya,Kenjeran,Reguler,0,1,,,,
177,14/06/22,Pos Indonesia,Pekanbaru,Marpoyan Damai,Next Day,5,5,,,,
281,13/05/23,Jne,Padang,Koto Tangah,Same Day,5,3,,,,
276,21/12/22,Pos Indonesia,Semarang,Gayamsari,Next Day,0,1,,,,
270,22/09/22,J&T Express,Bandung,Cibiru,Next Day,3,2,,,,
248,07/06/23,J&T Express,Jakarta,Sawah Besar,Next Day,2,5,,,,
229,12/11/22,Ninja Xpress,Surakarta,Karanganyar,Same Day,4,2,,,,
179,23/10/22,Sicepat,Bogor,Cileungsi,Express,5,4,,,,
183,10/06/23,Ninja Xpress,Denpasar,Renon,Same Day,4,2,,,,
222,06/10/22,J&T Express,Denpasar,Denpasar Timur,Next Day,0,1,,,,
228,24/10/22,Sicepat,Padang,Pauh,Next Day,3,2,,,,
150,10/01/23,Sicepat,Yogyakarta,Gondomanan,Reguler,0,1,,,,
162,22/07/22,Sicepat,Surakarta,Mojogedang,Same Day,4,5,,,,
222,10/08/22,J&T Express,Medan,Medan Timur,Next Day,3,5,,,,
151,14/12/22,J&T Express,Pekanbaru,Senapelan,Express,4,5,,,,
212,12/04/23,Pos Indonesia,Padang,Kuranji,Next Day,1,5,,,,
112,04/06/23,Pos Indonesia,Padang,Pauh,Next Day,2,5,,,,
114,06/11/22,Ninja Xpress,Bekasi,Mustika Jaya,Express,0,1,,,,
189,16/10/22,Ninja Xpress,Batam,Batam Kota,Same Day,0,1,,,,
142,28/04/23,Pos Indonesia,Batam,Bulang,Same Day,0,1,,,,
243,29/09/22,Jne,Bekasi,Medan Satria,Express,0,1,,,,
139,06/03/23,Pos Indonesia,Padang,Lubuk Begalung,Reguler,1,5,,,,
189,22/12/22,Sicepat,Pontianak,Pontianak Kota,Next Day,1,4,,,,
226,11/12/22,Pos Indonesia,Makassar,Bonto,Same Day,5,5,,,,
300,26/12/22,Ninja Xpress,Padang,Bungus Teluk Kabung,Next Day,3,5,,,,
195,14/11/22,Ninja Xpress,Malang,Singosari,Same Day,0,1,,,,
284,01/05/23,J&T Express,Medan,Medan Perjuangan,Reguler,2,2,,,,
199,20/01/23,Pos Indonesia,Makassar,Rappocini,Reguler,0,1,,,,
247,28/05/23,Ninja Xpress,Bandung,Cicendo,Next Day,5,2,,,,
284,28/06/22,Ninja Xpress,Makassar,Makassar Selatan,Next Day,0,1,,,,
183,20/06/22,Ninja Xpress,Pontianak,Pontianak Barat,Express,5,4,,,,
295,08/11/22,Sicepat,Makassar,Wajo,Express,3,4,,,,
152,17/01/23,Sicepat,Malang,Klojen,Next Day,5,3,,,,
159,31/01/23,Ninja Xpress,Surakarta,Kebakkramat,Next Day,1,4,,,,
220,02/03/23,Jne,Pontianak,Pontianak Barat,Express,5,5,,,,
161,19/09/22,Sicepat,Padang,Padang Barat,Next Day,5,3,,,,
189,04/02/23,J&T Express,Tangerang,Cipondoh,Next Day,5,3,,,,
130,10/01/23,Jne,Depok,Beji,Express,0,1,,,,
229,09/06/23,Ninja Xpress,Bekasi,Bekasi Selatan,Next Day,5,2,,,,
117,10/07/22,Jne,Jakarta,Senen,Next Day,0,1,,,,
171,01/05/23,Jne,Bekasi,Bekasi Jaya,Next Day,2,4,,,,
207,04/01/23,Pos Indonesia,Pekanbaru,Sail,Next Day,0,1,,,,
