order_id,product_id,order_date,courier_delivery,city,district,type_of_delivery,estimated_delivery_time_days,product_rating,ontime
210207,159,2023/05/05,Ninja Xpress,Makassar,Tallo,Reguler,5,5,Ontime
821002,256,13/04/23,J&T Express,Depok,Cinere,Express,,1,Ontime
727835,268,2022/06/08,POS Indonesia,Jakarta,Setiabudi,Express,5 days,2,Ontime
975305,258,2022/02/09,JNE,Yogyakarta,Prawirotaman,Same Day,4 days,2,Ontime
796948,299,2022/01/08,J&T Express,Semarang,Pedurungan,Same Day,five,3,Ontime
812444,300,2023/09/06,SiCepat,Jakarta,Kramat Jati,Express,2,5,Ontime
999966,168,13/02/23,JNE,Depok,Cipayung,Next Day,3,4,Ontime
828752,185,13/09/22,SiCepat,Jakarta,Kemayoran,Reguler,,1,Ontime
226744,293,16/09/22,J&T Express,Yogyakarta,Sewon,Express,,1,Ontime
964500,190,22/05/23,Ninja Xpress,Tangerang,Serpong,Same Day,five,3,Ontime
825985,159,30/11/22,SiCepat,Pekanbaru,Rumbai,Same Day,five,3,Ontime
142114,191,29/04/23,J&T Express,Batam,Batam Kota,Next Day,4 days,2,Ontime
289301,136,2023/07/01,POS Indonesia,Surakarta,Mojogedang,Same Day,,1,Ontime
705194,277,30/03/23,Ninja Xpress,Makassar,Makassar Timur,Next Day,five,3,Ontime
435659,253,28/02/23,SiCepat,Yogyakarta,Gondokusuman,Express,1,4,Ontime
218098,150,15/09/22,SiCepat,Bogor,Leuwiliang,Next Day,2,5,Ontime
576667,264,18/05/23,Ninja Xpress,Malang,Lowokwaru,Same Day,4 days,2,Ontime
965845,223,17/03/23,J&T Express,Pekanbaru,Senapelan,Next Day,,1,Ontime
804628,237,18/06/22,JNE,Bandar Lampung,Panjang,Same Day,,1,Ontime
937932,121,18/10/22,JNE,Pekanbaru,Payung Sekaki,Reguler,2 days,2,Ontime
104940,260,2022/11/09,J&T Express,Malang,Singosari,Next Day,2,5,Ontime
587014,233,2023/10/06,JNE,Palembang,Bukit Besar,Same Day,,1,Ontime
327941,263,30/09/22,J&T Express,Malang,Tumpang,Same Day,five,3,Ontime
484885,279,2022/04/11,JNE,Surakarta,Serengan,Next Day,3 days,2,Ontime
441651,275,2022/12/12,J&T Express,Palembang,Ilir Timur II,Reguler,2,5,Ontime
324943,162,25/08/22,J&T Express,Surabaya,Tegalsari,Next Day,4,4,Ontime
922212,299,2023/06/04,J&T Express,Batam,Batu Aji,Express,,1,Ontime
216479,160,2023/02/06,J&T Express,Bandung,Cinambo,Next Day,1,4,Ontime
762442,270,16/10/22,JNE,Batam,Batu Aji,Express,3 days,2,Ontime
30410,148,2023/11/02,POS Indonesia,Yogyakarta,Sewon,Next Day,3 days,2,Ontime
461574,222,2023/10/01,SiCepat,Bekasi,Jatiwaringin,Express,2 days,2,Ontime
273877,156,19/07/22,POS Indonesia,Semarang,Gajahmungkur,Reguler,2 days,2,Ontime
782024,155,18/09/22,SiCepat,Jakarta,Makasar,Reguler,five,3,Ontime
817039,116,21/08/22,SiCepat,Yogyakarta,Gondomanan,Reguler,3,4,Ontime
658237,228,22/03/23,POS Indonesia,Bandung,Mandalajati,Same Day,2 days,2,Ontime
713444,160,2022/10/10,Ninja Xpress,Batam,Sagulung,Express,2,4,Ontime
178136,210,2022/05/07,POS Indonesia,Tangerang,Karang Tengah,Next Day,5,5,Ontime
594199,126,2023/06/02,JNE,Pekanbaru,Lima Puluh,Express,,1,Ontime
67461,156,24/06/22,J&T Express,Pontianak,Pontianak Utara,Next Day,4,5,Ontime
820253,154,20/02/23,Ninja Xpress,Makassar,Rappocini,Next Day,2,4,Ontime
149066,286,2023/02/05,POS Indonesia,Yogyakarta,Mergangsan,Same Day,5,5,Ontime
67162,207,24/04/23,Ninja Xpress,Padang,Padang Utara,Reguler,,1,Ontime
235555,188,16/09/22,POS Indonesia,Jakarta,Gambir,Same Day,,1,Ontime
125047,179,31/05/23,SiCepat,Surakarta,Gemolong,Express,1,4,Ontime
573101,190,28/11/22,SiCepat,Pontianak,Pontianak Kota,Same Day,5,5,Ontime
708506,153,15/06/22,Ninja Xpress,Bandung,Kiaracondong,Express,,1,Ontime
281297,276,19/10/22,Ninja Xpress,Yogyakarta,Ngampilan,Reguler,,1,Ontime
78352,291,2022/02/08,SiCepat,Medan,Medan Johor,Same Day,5,4,Ontime
113399,275,27/04/23,JNE,Pontianak,Pontianak Barat,Next Day,5 days,2,Ontime
696339,143,20/03/23,J&T Express,Tangerang,Serpong Selatan,Same Day,,1,Ontime
255966,186,25/06/22,SiCepat,Medan,Medan Perjuangan,Next Day,five,3,Ontime
197445,297,2022/03/11,SiCepat,Depok,Bojongsari,Reguler,,1,Ontime
733730,182,2022/04/09,Ninja Xpress,Pontianak,Pontianak Barat,Express,five,3,Ontime
675354,156,2022/05/10,Ninja Xpress,Malang,Pakis,Same Day,,1,Ontime
358851,155,2022/07/08,J&T Express,Bogor,Bogor Timur,Express,,1,Ontime
547189,213,25/06/22,SiCepat,Palembang,Plaju,Reguler,4,4,Ontime
297967,251,2022/02/10,J&T Express,Surabaya,Rungkut,Express,3 days,2,Ontime
630606,198,31/01/23,POS Indonesia,Pontianak,Pontianak Selatan,Next Day,5,4,Ontime
619761,227,2023/02/04,Ninja Xpress,Depok,Tapos,Express,,1,Ontime
59030,111,2022/06/09,J&T Express,Bekasi,Medan Satria,Reguler,five,3,Ontime
633164,152,15/02/23,SiCepat,Medan,Medan Helvetia,Next Day,1 days,2,Ontime
180233,198,2022/07/08,POS Indonesia,Bandar Lampung,Tanjung Karang Timur,Reguler,5,5,Ontime
267076,294,2022/04/07,JNE,Medan,Medan Perjuangan,Next Day,,1,Ontime
682700,132,17/10/22,POS Indonesia,Makassar,Panakkukang,Same Day,five,3,Ontime
838958,263,28/04/23,J&T Express,Semarang,Semarang Selatan,Same Day,,1,Ontime
468710,162,25/07/22,Ninja Xpress,Bogor,Ciawi,Reguler,1 days,2,Ontime
84761,261,2023/02/01,JNE,Surabaya,Wonokromo,Express,3 days,2,Ontime
624005,195,2023/04/04,Ninja Xpress,Pontianak,Pontianak Kota,Same Day,1,5,Ontime
603610,193,20/08/22,Ninja Xpress,Batam,Bulang,Reguler,4,4,Ontime
662409,150,22/04/23,JNE,Bandung,Gedebage,Next Day,,1,Ontime
810493,248,2022/10/12,Ninja Xpress,Medan,Medan Sunggal,Express,1,4,Ontime
49190,193,18/10/22,JNE,Jakarta,Pancoran,Express,5,5,Ontime
24131,275,24/06/22,SiCepat,Bogor,Gunung Putri,Same Day,3 days,2,Ontime
837290,298,26/07/22,JNE,Bogor,Bogor Utara,Express,1,4,Ontime
533668,164,26/02/23,SiCepat,Padang,Pauh,Same Day,2,4,Ontime
516086,151,26/11/22,JNE,Jakarta,Kebayoran Baru,Reguler,3,4,Ontime
859904,190,24/07/22,JNE,Tangerang,Ciputat,Express,3,5,Ontime
551476,262,2022/11/06,SiCepat,Bekasi,Bekasi Jaya,Express,,1,Ontime
382449,118,13/12/22,POS Indonesia,Padang,Padang Barat,Reguler,five,3,Ontime
523283,223,18/09/22,J&T Express,Medan,Medan Tuntungan,Next Day,five,3,Ontime
638531,246,2022/04/08,J&T Express,Depok,Beji,Reguler,4,4,Ontime
442977,115,2023/08/01,Ninja Xpress,Medan,Medan Baru,Reguler,5,5,Ontime
751759,264,2022/10/12,Ninja Xpress,Malang,Sumbermanjing,Express,4 days,2,Ontime
482101,129,13/06/22,POS Indonesia,Padang,Pauh,Next Day,1 days,2,Ontime
690555,220,17/06/22,Ninja Xpress,Tangerang,Pasar Kemis,Next Day,,1,Ontime
374171,295,2022/08/07,Ninja Xpress,Malang,Bululawang,Reguler,1,5,Ontime
462861,233,22/02/23,Ninja Xpress,Surakarta,Jebres,Next Day,3,5,Ontime
711115,161,23/04/23,POS Indonesia,Medan,Medan Sunggal,Reguler,1,4,Ontime
435694,294,2022/07/10,POS Indonesia,Padang,Koto Tangah,Same Day,,1,Ontime
360184,288,2023/09/06,SiCepat,Denpasar,Benoa,Same Day,five,3,Ontime
568712,128,2022/08/10,J&T Express,Bogor,Tanah Sereal,Same Day,4,5,Ontime
756728,200,24/03/23,J&T Express,Padang,Pauh,Express,5,5,Ontime
332190,136,31/10/22,JNE,Yogyakarta,Kotagede,Express,,1,Ontime
109994,287,17/03/23,SiCepat,Bogor,Tanah Sereal,Same Day,1,5,Ontime
134338,264,2022/09/12,SiCepat,Pontianak,Pontianak Barat,Express,3,5,Ontime
959132,118,2023/10/05,JNE,Pontianak,Pontianak Barat,Express,1 days,2,Ontime
739446,181,2023/10/04,SiCepat,Surabaya,Wonokromo,Next Day,3,4,Ontime
886948,241,24/07/22,JNE,Tangerang,Ciputat,Next Day,2 days,2,Ontime
297558,156,2023/05/05,JNE,Medan,Medan Maimun,Same Day,five,3,Ontime
304944,220,2023/05/03,JNE,Palembang,Plaju,Same Day,1,5,Ontime
481665,225,19/02/23,POS Indonesia,Palembang,Ilir Barat I,Express,,1,Ontime
718267,168,2023/09/02,SiCepat,Jakarta,Setiabudi,Express,five,3,Ontime
667814,186,2022/02/07,Ninja Xpress,Bekasi,Bekasi Utara,Same Day,five,3,Ontime
71003,151,29/08/22,J&T Express,Jakarta,Kebayoran Lama,Next Day,5 days,2,Ontime
688377,285,2023/09/02,SiCepat,Jakarta,Gambir,Next Day,,1,Ontime
242763,262,27/03/23,J&T Express,Tangerang,Pondok Aren,Next Day,five,3,Ontime
68522,170,30/05/23,Ninja Xpress,Bekasi,Jatiwaringin,Same Day,five,3,Ontime
711666,268,23/09/22,J&T Express,Tangerang,Serpong,Next Day,3,5,Ontime
619492,134,24/12/22,JNE,Tangerang,Pinang,Next Day,5,4,Ontime
52238,256,28/05/23,Ninja Xpress,Jakarta,Kemayoran,Reguler,4,5,Ontime
884250,221,2022/12/12,JNE,Semarang,Gayamsari,Express,2,5,Ontime
27272,221,18/04/23,J&T Express,Makassar,Biringkanaya,Next Day,5,4,Ontime
806579,158,17/08/22,Ninja Xpress,Palembang,Ilir Barat II,Reguler,,1,Ontime
373211,154,24/02/23,Ninja Xpress,Medan,Medan Perjuangan,Reguler,2,4,Ontime
5159,289,26/08/22,J&T Express,Bogor,Ciawi,Next Day,2,5,Ontime
971851,274,22/05/23,POS Indonesia,Bogor,Megamendung,Reguler,1,5,Ontime
284966,159,20/04/23,J&T Express,Malang,Kedungkandang,Next Day,2 days,2,Ontime
940471,278,28/03/23,POS Indonesia,Depok,Sawangan,Next Day,5 days,2,Ontime
761106,176,2022/09/07,J&T Express,Denpasar,Denpasar Timur,Same Day,1 days,2,Ontime
160106,213,16/03/23,Ninja Xpress,Bandung,Lengkong,Same Day,five,3,Ontime
255519,243,13/02/23,POS Indonesia,Bandar Lampung,Teluk Betung Selatan,Reguler,4,5,Ontime
761606,134,22/05/23,Ninja Xpress,Yogyakarta,Jetis,Express,five,3,Ontime
24650,233,2022/03/08,Ninja Xpress,Medan,Medan Johor,Reguler,five,3,Ontime
780512,267,2023/02/04,JNE,Bandar Lampung,Sukabumi,Next Day,five,3,Ontime
54370,206,2022/01/11,Ninja Xpress,Depok,Beji,Same Day,3,5,Ontime
217712,232,15/01/23,POS Indonesia,Jakarta,Pancoran,Same Day,five,3,Ontime
370741,246,30/12/22,POS Indonesia,Pontianak,Pontianak Selatan,Express,,1,Ontime
333339,239,2022/07/09,JNE,Denpasar,Serangan,Next Day,4,4,Ontime
54907,238,2022/03/10,SiCepat,Tangerang,Ciledug,Same Day,2 days,2,Ontime
525892,199,30/09/22,SiCepat,Pontianak,Pontianak Selatan,Express,five,3,Ontime
265706,122,2022/02/09,J&T Express,Depok,Sawangan,Reguler,2,5,Ontime
470877,242,19/03/23,Ninja Xpress,Pekanbaru,Payung Sekaki,Reguler,5 days,2,Ontime
928380,211,18/02/23,SiCepat,Malang,Lawang,Reguler,2,5,Ontime
190278,117,23/08/22,SiCepat,Malang,Sumbermanjing,Same Day,3,4,Ontime
687143,232,2023/06/01,SiCepat,Pontianak,Pontianak Kota,Same Day,,1,Ontime
610350,133,28/04/23,SiCepat,Surabaya,Tambaksari,Express,2,4,Ontime
945621,232,25/06/22,POS Indonesia,Medan,Medan Polonia,Same Day,,1,Ontime
179910,169,19/08/22,SiCepat,Makassar,Tamalate,Next Day,4 days,2,Ontime
246384,259,2022/05/07,Ninja Xpress,Bandung,Bandung Wetan,Reguler,2,4,Ontime
95054,200,24/03/23,J&T Express,Makassar,Rappocini,Reguler,,1,Ontime
183938,140,24/08/22,POS Indonesia,Tangerang,Cipondoh,Reguler,1,5,Ontime
113617,124,21/09/22,JNE,Surabaya,Tambaksari,Express,five,3,Ontime
643500,172,2022/06/10,SiCepat,Yogyakarta,Jetis,Same Day,1 days,2,Ontime
512210,234,25/11/22,J&T Express,Padang,Nanggalo,Reguler,3,4,Ontime
912185,190,2022/05/09,POS Indonesia,Palembang,Sukarami,Express,2,5,Ontime
408295,263,14/06/22,SiCepat,Tangerang,Pinang,Same Day,5 days,2,Ontime
574471,201,24/10/22,SiCepat,Padang,Bungus Teluk Kabung,Same Day,4,4,Ontime
343855,212,2023/08/02,J&T Express,Pontianak,Pontianak Timur,Reguler,2,4,Ontime
502719,207,17/12/22,SiCepat,Surakarta,Kalijambe,Reguler,3,5,Ontime
788652,205,13/10/22,POS Indonesia,Depok,Tapos,Express,1,4,Ontime
125008,133,25/06/22,JNE,Makassar,Wajo,Same Day,5 days,2,Ontime
218026,201,15/11/22,POS Indonesia,Yogyakarta,Ngampilan,Reguler,3 days,2,Ontime
456238,147,23/11/22,POS Indonesia,Batam,Sekupang,Express,,1,Ontime
889612,154,30/05/23,SiCepat,Surabaya,Wonokromo,Reguler,,1,Ontime
114690,199,13/05/23,POS Indonesia,Bekasi,Bekasi Utara,Reguler,3 days,2,Ontime
358737,255,27/07/22,JNE,Yogyakarta,Wirobrajan,Same Day,,1,Ontime
745910,115,2022/08/10,J&T Express,Palembang,Kalidoni,Reguler,five,3,Ontime
798467,169,2022/08/07,SiCepat,Semarang,Semarang Selatan,Express,2,5,Ontime
797718,274,15/05/23,J&T Express,Yogyakarta,Kotagede,Express,1 days,2,Ontime
803526,134,29/09/22,J&T Express,Bogor,Bogor Utara,Reguler,4,4,Ontime
619619,188,15/06/22,POS Indonesia,Palembang,Kemuning,Same Day,,1,Ontime
363269,145,22/07/22,SiCepat,Medan,Medan Labuhan,Express,4,5,Ontime
254593,125,2022/01/11,JNE,Batam,Sagulung,Same Day,3,4,Ontime
224115,264,28/03/23,POS Indonesia,Medan,Medan Belawan,Express,five,3,Ontime
233665,247,15/09/22,JNE,Makassar,Tallo,Express,1,4,Ontime
834846,204,2023/05/03,SiCepat,Malang,Pakis,Reguler,five,3,Ontime
12535,145,27/01/23,SiCepat,Depok,Bojongsari,Next Day,3,4,Ontime
32407,216,2023/06/03,SiCepat,Pontianak,Pontianak Kota,Next Day,2,5,Ontime
906389,144,14/06/22,SiCepat,Bogor,Bogor Tengah,Next Day,,1,Ontime
294984,147,24/04/23,JNE,Surabaya,Asemrowo,Express,,1,Ontime
900825,135,29/05/23,SiCepat,Denpasar,Serangan,Next Day,2 days,2,Ontime
583728,207,25/06/22,POS Indonesia,Pekanbaru,Tampan,Reguler,5,4,Ontime
916234,135,2023/01/06,POS Indonesia,Bandar Lampung,Tanjung Senang,Same Day,,1,Ontime
115274,144,2023/11/02,SiCepat,Makassar,Wajo,Next Day,1,4,Ontime
573348,242,2023/07/02,Ninja Xpress,Pekanbaru,Senapelan,Same Day,five,3,Ontime
527566,185,2022/08/09,J&T Express,Tangerang,Ciputat,Express,,1,Ontime
863530,237,2023/08/04,Ninja Xpress,Bekasi,Rawalumbu,Reguler,4 days,2,Ontime
56661,118,24/10/22,J&T Express,Bekasi,Medan Satria,Reguler,five,3,Ontime
478568,154,2022/02/11,POS Indonesia,Surakarta,Laweyan,Reguler,3,4,Ontime
595172,233,16/07/22,POS Indonesia,Bekasi,Bekasi Selatan,Next Day,,1,Ontime
2903,231,30/06/22,Ninja Xpress,Bogor,Cigombong,Reguler,4,5,Ontime
328034,140,23/12/22,Ninja Xpress,Palembang,Bukit Besar,Reguler,5,4,Ontime
406112,152,14/09/22,JNE,Bandar Lampung,Panjang,Same Day,,1,Ontime
372594,252,2023/06/03,SiCepat,Jakarta,Pancoran,Express,,1,Ontime
528566,218,24/12/22,JNE,Jakarta,Menteng,Reguler,five,3,Ontime
896689,224,2023/01/03,JNE,Makassar,Ujung Pandang,Next Day,3,5,Ontime
288155,184,25/07/22,POS Indonesia,Bekasi,Bantargebang,Express,five,3,Ontime
106960,124,28/01/23,JNE,Surakarta,Berbek,Reguler,4,5,Ontime
946693,256,2023/04/01,JNE,Makassar,Makassar City,Next Day,five,3,Ontime
813875,203,2023/07/05,JNE,Semarang,Tugu Mulyo,Same Day,2,5,Ontime
38701,208,2023/07/04,J&T Express,Semarang,Gunungpati,Reguler,five,3,Ontime
223008,123,2023/02/01,POS Indonesia,Padang,Koto Tangah,Reguler,3,4,Ontime
817889,288,30/03/23,JNE,Surakarta,Berbek,Next Day,5,5,Ontime
87471,129,2023/11/06,Ninja Xpress,Bandar Lampung,Rajabasa,Reguler,1 days,2,Ontime
29488,263,26/12/22,J&T Express,Denpasar,Denpasar Timur,Reguler,five,3,Ontime
541217,195,29/12/22,POS Indonesia,Bandar Lampung,Kemiling,Next Day,five,3,Ontime
651561,145,30/09/22,JNE,Pontianak,Pontianak Barat,Same Day,,1,Ontime
393095,128,2022/06/12,POS Indonesia,Jakarta,Grogol Petamburan,Same Day,,1,Ontime
538128,176,2022/04/10,Ninja Xpress,Bekasi,Pondok Melati,Next Day,,1,Ontime
580173,258,2023/07/06,SiCepat,Jakarta,Matraman,Same Day,,1,Ontime
591168,143,2022/04/09,J&T Express,Denpasar,Serangan,Next Day,five,3,Ontime
364915,282,2022/01/09,Ninja Xpress,Surabaya,Tegalsari,Reguler,1 days,2,Ontime
685664,265,2022/04/09,J&T Express,Surakarta,Karanganyar,Reguler,,1,Ontime
50778,173,2022/04/07,SiCepat,Bekasi,Medan Satria,Express,1,4,Ontime
203323,294,21/02/23,POS Indonesia,Yogyakarta,Gondokusuman,Same Day,4,5,Ontime
281834,286,2022/01/10,J&T Express,Denpasar,Kerobokan,Reguler,,1,Ontime
916446,149,17/05/23,Ninja Xpress,Jakarta,Ciracas,Express,five,3,Ontime
904063,263,2022/05/12,POS Indonesia,Pekanbaru,Bukit Raya,Next Day,1,4,Ontime
892131,293,2023/06/01,J&T Express,Padang,Padang Utara,Reguler,five,3,Ontime
834330,213,13/04/23,J&T Express,Semarang,Mijen,Next Day,1,4,Ontime
581101,171,2022/06/07,SiCepat,Yogyakarta,Gondokusuman,Reguler,five,3,Ontime
992954,235,25/09/22,POS Indonesia,Bandung,Regol,Express,3,5,Ontime
495396,124,2022/02/08,POS Indonesia,Makassar,Makassar Selatan,Reguler,4,5,Ontime
461420,273,27/02/23,JNE,Denpasar,Kerobokan,Same Day,five,3,Ontime
736368,208,26/03/23,SiCepat,Palembang,Ilir Barat I,Same Day,,1,Ontime
306276,299,22/11/22,SiCepat,Bandung,Cicendo,Reguler,five,3,Ontime
254760,224,28/11/22,POS Indonesia,Semarang,Pedurungan,Same Day,,1,Ontime
845595,133,30/10/22,Ninja Xpress,Jakarta,Gambir,Next Day,,1,Ontime
890392,242,25/11/22,POS Indonesia,Surabaya,Genteng,Reguler,1,4,Ontime
210532,233,30/04/23,SiCepat,Tangerang,Pinang,Reguler,1,5,Ontime
952540,263,22/08/22,POS Indonesia,Bogor,Cigombong,Same Day,,1,Ontime
85081,193,26/02/23,Ninja Xpress,Surabaya,Tegalsari,Next Day,3 days,2,Ontime
997196,206,13/07/22,JNE,Pontianak,Pontianak Barat,Same Day,,1,Ontime
366738,277,18/06/22,J&T Express,Bandar Lampung,Sukarame,Next Day,2,5,Ontime
162638,272,2022/08/07,POS Indonesia,Bandung,Astana Anyar,Same Day,1,5,Ontime
195742,238,28/08/22,Ninja Xpress,Malang,Blimbing,Next Day,,1,Ontime
717468,153,2022/09/09,JNE,Tangerang,Benda,Next Day,5,4,Ontime
906048,295,2022/12/06,POS Indonesia,Padang,Bungus Teluk Kabung,Next Day,1,4,Ontime
51967,211,2022/08/09,SiCepat,Semarang,Gayamsari,Next Day,4,5,Ontime
281830,117,27/01/23,SiCepat,Palembang,Ilir Timur I,Reguler,five,3,Ontime
985943,291,29/11/22,Ninja Xpress,Makassar,Makassar Barat,Next Day,5,4,Ontime
489137,123,2022/01/10,JNE,Jakarta,Mampang Prapatan,Reguler,1,5,Ontime
351969,210,2023/07/05,Ninja Xpress,Makassar,Batu,Same Day,4 days,2,Ontime
182165,152,20/10/22,SiCepat,Bandung,Bandung Wetan,Same Day,five,3,Ontime
248733,270,2023/10/02,JNE,Makassar,Makassar Utara,Next Day,five,3,Ontime
205324,300,20/10/22,Ninja Xpress,Surabaya,Wonokromo,Same Day,3,5,Ontime
875631,174,14/05/23,POS Indonesia,Bandung,Buahbatu,Next Day,five,3,Ontime
538838,225,2023/06/05,SiCepat,Malang,Blimbing,Same Day,,1,Ontime
571078,161,25/01/23,Ninja Xpress,Yogyakarta,Umbulharjo,Reguler,5,5,Ontime
698480,284,24/08/22,SiCepat,Surakarta,Laweyan,Next Day,1,5,Ontime
813462,154,16/03/23,SiCepat,Denpasar,Kedonganan,Express,,1,Ontime
344770,274,2023/07/04,JNE,Pontianak,Pontianak Kota,Express,3,5,Ontime
693777,163,2023/01/04,JNE,Bandar Lampung,Rajabasa,Express,1 days,2,Ontime
751060,117,19/01/23,J&T Express,Makassar,Wajo,Reguler,,1,Ontime
617039,225,30/12/22,J&T Express,Padang,Nanggalo,Next Day,five,3,Ontime
982312,111,22/12/22,SiCepat,Pekanbaru,Payung Sekaki,Next Day,5,5,Ontime
926887,249,22/07/22,JNE,Bogor,Megamendung,Express,3,4,Ontime
907588,292,26/05/23,J&T Express,Bekasi,Bekasi Jaya,Reguler,2,5,Ontime
358052,290,27/07/22,Ninja Xpress,Jakarta,Kebayoran Baru,Express,,1,Ontime
165885,169,2023/08/03,J&T Express,Yogyakarta,Gondomanan,Next Day,1 days,2,Ontime
12086,195,26/03/23,JNE,Bogor,Babakan Madang,Express,,1,Ontime
147673,157,27/01/23,SiCepat,Surabaya,Gubeng,Same Day,5 days,2,Ontime
991232,272,2022/02/09,SiCepat,Malang,Kedungkandang,Reguler,2,4,Ontime
997373,289,2022/03/09,J&T Express,Bandar Lampung,Teluk Betung Selatan,Next Day,5,4,Ontime
769746,275,18/07/22,JNE,Depok,Sawangan,Reguler,4,4,Ontime
440519,161,13/08/22,Ninja Xpress,Denpasar,Denpasar Selatan,Reguler,five,3,Ontime
979057,195,24/12/22,SiCepat,Padang,Padang Timur,Same Day,1,5,Ontime
295539,143,20/02/23,SiCepat,Bandar Lampung,Tanjung Karang Timur,Reguler,3 days,2,Ontime
632353,117,21/05/23,SiCepat,Tangerang,Karang Tengah,Reguler,five,3,Ontime
677069,189,2023/07/05,J&T Express,Pekanbaru,Pekanbaru Kota,Reguler,five,3,Ontime
648709,300,19/03/23,JNE,Batam,Batu Aji,Express,1,4,Ontime
928209,246,13/08/22,POS Indonesia,Pekanbaru,Payung Sekaki,Express,five,3,Ontime
117042,169,25/04/23,SiCepat,Palembang,Alang-Alang Lebar,Next Day,2,4,Ontime
482869,254,23/11/22,SiCepat,Batam,Lubuk Baja,Reguler,2 days,2,Ontime
541108,219,2023/05/03,POS Indonesia,Palembang,Bukit Besar,Next Day,1,4,Ontime
320822,250,2023/09/06,JNE,Bekasi,Jati Sampurna,Express,1,4,Ontime
589288,277,21/02/23,JNE,Padang,Kuranji,Express,,1,Ontime
542574,297,28/04/23,SiCepat,Denpasar,Nusa Dua,Next Day,4,4,Ontime
968927,195,29/01/23,JNE,Malang,Pakis,Next Day,1,4,Ontime
140423,154,2022/03/08,J&T Express,Batam,Belakang Padang,Same Day,five,3,Ontime
562714,178,2022/11/10,Ninja Xpress,Surabaya,Kenjeran,Reguler,,1,Ontime
29127,177,14/06/22,POS Indonesia,Pekanbaru,Marpoyan Damai,Next Day,5,5,Ontime
154628,281,13/05/23,JNE,Padang,Koto Tangah,Same Day,five,3,Ontime
60975,276,21/12/22,POS Indonesia,Semarang,Gayamsari,Next Day,,1,Ontime
869436,270,22/09/22,J&T Express,Bandung,Cibiru,Next Day,3 days,2,Ontime
679267,248,2023/07/06,J&T Express,Jakarta,Sawah Besar,Next Day,2,5,Ontime
4994,229,2022/12/11,Ninja Xpress,Surakarta,Karanganyar,Same Day,4 days,2,Ontime
531434,179,23/10/22,SiCepat,Bogor,Cileungsi,Express,5,4,Ontime
626902,183,2023/10/06,Ninja Xpress,Denpasar,Renon,Same Day,4 days,2,Ontime
923145,222,2022/06/10,J&T Express,Denpasar,Denpasar Timur,Next Day,,1,Ontime
